Date,Time,InstanceName,User,MeasStat,MachStat,Snr,Voc,Isc,Pmax,Vpmax,Ipmax,Rs,Rsh,FF,Eff,Tdut,Gavg,LTI,Class,ClassBin
 2018-01-21, 00:19:50,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534212,  38.3854,   9.3381, 274.6491,  31.109,   8.829,   0.4782, 711.5119,  76.6224,  16.8496,  24.6, 999.5,   0.0011,    3 - 2,    2
 2018-01-21, 00:20:29,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534203,  38.3615,   9.3419, 275.0768,  31.102,   8.844,   0.4761, 767.4306,  76.7581,  16.8759,  24.6, 999.6,   0.0011,    4 - 3,    3
 2018-01-21, 00:21:00,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533855,  38.3449,   9.3193, 274.5161,  31.112,   8.824,   0.4755, 579.2679,  76.8201,  16.8415,  24.4, 999.7,   0.0012,    3 - 2,    2
 2018-01-21, 00:21:53,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533857,  38.3483,   9.3178, 274.3371,  31.067,   8.831,   0.4796, 988.7050,  76.7756,  16.8305,  24.5,1000.3,   0.0011,    3 - 2,    2
 2018-01-21, 00:22:30,60p,engineer - ENGINEER,Ok,Ok,,  38.3256,   9.3226, 274.6833,  31.089,   8.835,   0.4743, 956.4528,  76.8784,  16.8517,  24.5, 999.6,   0.0010,    3 - 2,    2
 2018-01-21, 00:23:02,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533840,  38.3257,   9.3225, 274.7081,  31.093,   8.835,   0.4741, 889.0459,  76.8867,  16.8533,  24.4, 999.6,   0.0011,    3 - 2,    2
 2018-01-21, 00:23:33,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533856,  38.3495,   9.3129, 273.9512,  31.069,   8.818,   0.4809, 810.0624,  76.7063,  16.8068,  24.5,1000.4,   0.0011,    3 - 2,    2
 2018-01-21, 00:24:06,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534054,  38.4503,   9.3403, 275.3443,  31.134,   8.844,   0.4832, 922.0538,  76.6678,  16.8923,  24.5,1000.1,   0.0010,    4 - 3,    3
 2018-01-21, 00:24:37,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED533854,  38.3841,   9.3212, 274.9493,  31.131,   8.832,   0.4770, 803.1042,  76.8478,  16.8681,  24.5, 999.9,   0.0012,    3 - 2,    2
 2018-01-21, 00:25:13,60p,engineer - ENGINEER,Ok,Ok,CETCP6051ED534196,  38.3574,   9.3239, 274.4530,  31.077,   8.832,   0.4801, 495.1489,  76.7403,  16.8376,  24.5, 999.1,   0.0012,    3 - 2,    2
